0.21	0.095	0.01095	NAN	NAN	NAN	
0.212	0.095	0.01185	NAN	NAN	NAN	
0.214	0.095	0.01305	0.01182	-0.0011229	NAN	
0.216	0.095	0.0123	NAN	NAN	NAN	
0.218	0.095	0.01095	NAN	NAN	NAN	
0.22	0.1	0.01125	NAN	NAN	NAN	
0.222	0.1	0.01215	NAN	NAN	NAN	
0.224	0.1	0.01305	0.01194	-0.001194	NAN	
0.226	0.1	0.01245	NAN	NAN	NAN	
0.228	0.1	0.0108	NAN	NAN	NAN	
0.23	0.1	0.0108	NAN	NAN	NAN	
0.232	0.105	0.012	NAN	NAN	NAN	
0.234	0.105	0.0126	0.0117	-0.0012285	NAN	
0.236	0.105	0.0123	NAN	NAN	NAN	
0.238	0.105	0.0108	NAN	NAN	NAN	
0.24	0.105	0.01065	NAN	NAN	NAN	
0.242	0.11	0.012	NAN	NAN	NAN	
0.244	0.11	0.01275	0.01173	-0.0012903	NAN	
0.246	0.11	0.01245	NAN	NAN	NAN	
0.248	0.11	0.0108	NAN	NAN	NAN	
0.25	0.11	0.01065	NAN	NAN	NAN	
0.252	0.11	0.01215	NAN	NAN	NAN	
0.254	0.115	0.0129	0.01182	-0.0013593	NAN	
0.256	0.115	0.01245	NAN	NAN	NAN	
0.258	0.115	0.01095	NAN	NAN	NAN	
0.26	0.115	0.01065	NAN	NAN	NAN	
0.262	0.115	0.01215	NAN	NAN	NAN	
0.264	0.12	0.0129	0.01185	-0.001422	NAN	
0.266	0.12	0.01245	NAN	NAN	NAN	
0.268	0.12	0.0111	NAN	NAN	NAN	
0.27	0.12	0.01065	NAN	NAN	NAN	
0.272	0.12	0.0123	NAN	NAN	NAN	
0.274	0.12	0.0129	0.01185	-0.001422	NAN	
0.276	0.125	0.01215	NAN	NAN	NAN	
0.278	0.125	0.01125	NAN	NAN	NAN	
0.28	0.125	0.01065	NAN	NAN	NAN	
0.282	0.125	0.0123	NAN	NAN	NAN	
0.284	0.125	0.0129	0.01179	-0.00147375	NAN	
0.286	0.13	0.01215	NAN	NAN	NAN	
0.288	0.13	0.01095	NAN	NAN	NAN	
0.29	0.13	0.01065	NAN	NAN	NAN	
0.292	0.13	0.01215	NAN	NAN	NAN	
0.294	0.13	0.01305	0.01182	-0.0015366	NAN	
0.296	0.13	0.01215	NAN	NAN	NAN	
0.298	0.135	0.0111	NAN	NAN	NAN	
0.3	0.135	0.01095	NAN	NAN	NAN	
0.302	0.135	0.0123	NAN	NAN	NAN	
0.304	0.135	0.01305	0.01191	-0.00160785	NAN	
0.306	0.135	0.01215	NAN	NAN	NAN	
0.308	0.14	0.0111	NAN	NAN	NAN	
0.31	0.14	0.0108	NAN	NAN	NAN	
0.312	0.14	0.012	NAN	NAN	NAN	
0.314	0.14	0.0132	0.01185	-0.001659	NAN	
0.316	0.14	0.01215	NAN	NAN	NAN	
0.318	0.145	0.0111	NAN	NAN	NAN	
0.32	0.145	0.0108	NAN	NAN	NAN	
0.322	0.145	0.01185	NAN	NAN	NAN	
0.324	0.145	0.0132	0.01179	-0.00170955	NAN	
0.326	0.145	0.01215	NAN	NAN	NAN	
0.328	0.145	0.01095	NAN	NAN	NAN	
0.33	0.15	0.01095	NAN	NAN	NAN	
0.332	0.15	0.0117	NAN	NAN	NAN	
0.334	0.15	0.0129	0.01179	-0.0017685	NAN	
0.336	0.15	0.01245	NAN	NAN	NAN	
0.338	0.15	0.01095	NAN	NAN	NAN	
0.34	0.155	0.01125	NAN	NAN	NAN	
0.342	0.155	0.012	NAN	NAN	NAN	
0.344	0.155	0.01305	0.01191	-0.00184605	NAN	
0.346	0.155	0.01245	NAN	NAN	NAN	
0.348	0.155	0.0108	NAN	NAN	NAN	
0.35	0.155	0.01095	NAN	NAN	NAN	
0.352	0.16	0.01215	NAN	NAN	NAN	
0.354	0.16	0.0129	0.01185	-0.001896	NAN	
0.356	0.16	0.0123	NAN	NAN	NAN	
0.358	0.16	0.01095	NAN	NAN	NAN	
0.36	0.16	0.0111	NAN	NAN	NAN	
0.362	0.165	0.012	NAN	NAN	NAN	
0.364	0.165	0.01275	0.01185	-0.00195525	NAN	
0.366	0.165	0.01245	NAN	NAN	NAN	
0.368	0.165	0.01095	NAN	NAN	NAN	
