0,24	0,105	0,14205	NAN	NAN	
0,242	0,11	0,16095	NAN	NAN	
0,244	0,11	0,16305	0,14994	NAN	
0,246	0,11	0,14775	NAN	NAN	
0,248	0,11	0,1359	NAN	NAN	
0,25	0,11	0,14175	NAN	NAN	
0,252	0,11	0,16065	NAN	NAN	
0,254	0,115	0,16305	0,14985	NAN	
0,256	0,115	0,1479	NAN	NAN	
0,258	0,115	0,1359	NAN	NAN	
0,26	0,115	0,1419	NAN	NAN	
0,262	0,115	0,1608	NAN	NAN	
0,264	0,12	0,1629	0,14988	NAN	
0,266	0,12	0,1479	NAN	NAN	
0,268	0,12	0,1359	NAN	NAN	
0,27	0,12	0,1416	NAN	NAN	
0,272	0,12	0,1605	NAN	NAN	
0,274	0,12	0,1629	0,14976	NAN	
0,276	0,125	0,14775	NAN	NAN	
0,278	0,125	0,13605	NAN	NAN	
0,28	0,125	0,14175	NAN	NAN	
0,282	0,125	0,16065	NAN	NAN	
0,284	0,125	0,16305	0,14985	NAN	
0,286	0,13	0,14775	NAN	NAN	
0,288	0,13	0,13605	NAN	NAN	
0,29	0,13	0,1416	NAN	NAN	
0,292	0,13	0,16065	NAN	NAN	
0,294	0,13	0,16305	0,14985	NAN	
0,296	0,13	0,14775	NAN	NAN	
0,298	0,135	0,1362	NAN	NAN	
0,3	0,135	0,1416	NAN	NAN	
0,302	0,135	0,1605	NAN	NAN	
0,304	0,135	0,1632	0,14982	NAN	
0,306	0,135	0,14775	NAN	NAN	
0,308	0,14	0,13605	NAN	NAN	
0,31	0,14	0,14175	NAN	NAN	
0,312	0,14	0,1605	NAN	NAN	
0,314	0,14	0,16305	0,14985	NAN	
0,316	0,14	0,14775	NAN	NAN	
0,318	0,145	0,1362	NAN	NAN	
0,32	0,145	0,1416	NAN	NAN	
0,322	0,145	0,16065	NAN	NAN	
0,324	0,145	0,16335	0,14988	NAN	
0,326	0,145	0,14775	NAN	NAN	
0,328	0,145	0,13605	NAN	NAN	
0,33	0,15	0,1416	NAN	NAN	
0,332	0,15	0,1605	NAN	NAN	
0,334	0,15	0,1635	0,14991	NAN	
0,336	0,15	0,1476	NAN	NAN	
0,338	0,15	0,13635	NAN	NAN	
0,34	0,155	0,14175	NAN	NAN	
0,342	0,155	0,1605	NAN	NAN	
0,344	0,155	0,1632	0,14991	NAN	
0,346	0,155	0,1479	NAN	NAN	
0,348	0,155	0,1362	NAN	NAN	
0,35	0,155	0,14175	NAN	NAN	
0,352	0,16	0,16035	NAN	NAN	
0,354	0,16	0,1635	0,14988	NAN	
0,356	0,16	0,14775	NAN	NAN	
0,358	0,16	0,13605	NAN	NAN	
0,36	0,16	0,1419	NAN	NAN	
0,362	0,165	0,1602	NAN	NAN	
0,364	0,165	0,16365	0,14994	NAN	
0,366	0,165	0,14775	NAN	NAN	
0,368	0,165	0,1362	NAN	NAN	
0,37	0,165	0,1419	NAN	NAN	
0,372	0,165	0,1602	NAN	NAN	
0,374	0,17	0,1635	0,14994	NAN	
0,376	0,17	0,14775	NAN	NAN	
0,378	0,17	0,13635	NAN	NAN	
0,38	0,17	0,1419	NAN	NAN	
0,382	0,17	0,16005	NAN	NAN	
0,384	0,175	0,1638	0,14994	NAN	
0,386	0,175	0,14775	NAN	NAN	
0,388	0,175	0,1362	NAN	NAN	
0,39	0,175	0,1419	NAN	NAN	
0,392	0,175	0,16005	NAN	NAN	
0,394	0,175	0,1635	0,14988	NAN	
0,396	0,18	0,1479	NAN	NAN	
0,398	0,18	0,13605	NAN	NAN	
0,4	0,18	0,1419	NAN	NAN	
0,402	0,18	0,1599	NAN	NAN	
0,404	0,18	0,16365	0,14994	NAN	
0,406	0,185	0,14805	NAN	NAN	
0,408	0,185	0,1362	NAN	NAN	
0,41	0,185	0,14205	NAN	NAN	
0,412	0,185	0,1599	NAN	NAN	
0,414	0,185	0,16365	0,14991	NAN	
0,416	0,185	0,14805	NAN	NAN	
0,418	0,19	0,1359	NAN	NAN	
0,42	0,19	0,1422	NAN	NAN	
0,422	0,19	0,1599	NAN	NAN	
0,424	0,19	0,16335	0,14994	NAN	
0,426	0,19	0,14805	NAN	NAN	
0,428	0,195	0,1362	NAN	NAN	
0,43	0,195	0,1419	NAN	NAN	
0,432	0,195	0,1599	NAN	NAN	
0,434	0,195	0,1638	0,14994	NAN	
0,436	0,195	0,1482	NAN	NAN	
0,438	0,195	0,1359	NAN	NAN	
0,44	0,2	0,14205	NAN	NAN	
0,442	0,2	0,15975	NAN	NAN	
0,444	0,2	0,1635	0,14991	NAN	
0,446	0,2	0,14835	NAN	NAN	
0,448	0,2	0,1359	NAN	NAN	
0,45	0,205	0,14205	NAN	NAN	
0,452	0,205	0,1596	NAN	NAN	
0,454	0,205	0,1635	0,14991	NAN	
0,456	0,205	0,1485	NAN	NAN	
0,458	0,205	0,1359	NAN	NAN	
0,46	0,205	0,1419	NAN	NAN	
0,462	0,21	0,15975	NAN	NAN	
0,464	0,21	0,16365	0,14991	NAN	
0,466	0,21	0,14835	NAN	NAN	
0,468	0,21	0,1359	NAN	NAN	
0,47	0,21	0,1419	NAN	NAN	
0,472	0,215	0,1599	NAN	NAN	
0,474	0,215	0,1638	0,15	NAN	
0,476	0,215	0,14865	NAN	NAN	
0,478	0,215	0,13575	NAN	NAN	
0,48	0,215	0,1419	NAN	NAN	
0,482	0,215	0,1596	NAN	NAN	
0,484	0,22	0,1638	0,14994	NAN	
0,486	0,22	0,14865	NAN	NAN	
0,488	0,22	0,13575	NAN	NAN	
0,49	0,22	0,14175	NAN	NAN	
0,492	0,22	0,1599	NAN	NAN	
0,494	0,225	0,1635	0,14994	NAN	
0,496	0,225	0,14865	NAN	NAN	
0,498	0,225	0,1359	NAN	NAN	
0,5	0,225	0,1419	NAN	NAN	
0,502	0,225	0,15975	NAN	NAN	
0,504	0,225	0,16335	0,14997	NAN	
0,506	0,23	0,1488	NAN	NAN	
0,508	0,23	0,13605	NAN	NAN	
