t	u	i	iav	a	b	poo
4.352	-0.3	0.12945	NAN	NAN	NAN	
4.354	-0.295	0.14625	0.13446	0.0396657	NAN	
4.356	-0.295	0.1452	NAN	NAN	NAN	
4.358	-0.295	0.12975	NAN	NAN	NAN	
4.36	-0.295	0.12165	NAN	NAN	NAN	
4.362	-0.295	0.12975	NAN	NAN	NAN	
4.364	-0.295	0.1458	0.13452	0.0396834	NAN	
4.366	-0.29	0.14535	NAN	NAN	NAN	
4.368	-0.29	0.13005	NAN	NAN	NAN	
4.37	-0.29	0.1218	NAN	NAN	NAN	
4.372	-0.29	0.12975	NAN	NAN	NAN	
4.374	-0.29	0.1461	0.13476	0.0390804	NAN	
4.376	-0.285	0.14595	NAN	NAN	NAN	
4.378	-0.285	0.1302	NAN	NAN	NAN	
4.38	-0.285	0.12165	NAN	NAN	NAN	
4.382	-0.285	0.13035	NAN	NAN	NAN	
4.384	-0.285	0.14625	0.13494	0.0384579	NAN	
4.386	-0.28	0.1458	NAN	NAN	NAN	
4.388	-0.28	0.13065	NAN	NAN	NAN	
4.39	-0.28	0.1218	NAN	NAN	NAN	
4.392	-0.28	0.13035	NAN	NAN	NAN	
4.394	-0.28	0.14685	0.135	0.0378	NAN	
4.396	-0.28	0.1452	NAN	NAN	NAN	
4.398	-0.275	0.1308	NAN	NAN	NAN	
4.4	-0.275	0.1221	NAN	NAN	NAN	
4.402	-0.275	0.13005	NAN	NAN	NAN	
4.404	-0.275	0.147	0.13512	0.037158	NAN	
4.406	-0.275	0.1455	NAN	NAN	NAN	
4.408	-0.27	0.13095	NAN	NAN	NAN	
4.41	-0.27	0.12225	NAN	NAN	NAN	
4.412	-0.27	0.1302	NAN	NAN	NAN	
4.414	-0.27	0.14715	0.13521	0.0365067	NAN	
4.416	-0.27	0.1461	NAN	NAN	NAN	
4.418	-0.27	0.13035	NAN	NAN	NAN	
4.42	-0.265	0.12255	NAN	NAN	NAN	
4.422	-0.265	0.13065	NAN	NAN	NAN	
4.424	-0.265	0.1467	0.1353	0.0358545	NAN	
4.426	-0.265	0.14625	NAN	NAN	NAN	
4.428	-0.265	0.13035	NAN	NAN	NAN	
4.43	-0.26	0.1227	NAN	NAN	NAN	
4.432	-0.26	0.1308	NAN	NAN	NAN	
4.434	-0.26	0.14685	0.13557	0.0352482	NAN	
4.436	-0.26	0.1464	NAN	NAN	NAN	
4.438	-0.26	0.1311	NAN	NAN	NAN	
4.44	-0.26	0.12225	NAN	NAN	NAN	
4.442	-0.255	0.13125	NAN	NAN	NAN	
4.444	-0.255	0.147	0.13563	0.03458565	NAN	
4.446	-0.255	0.1464	NAN	NAN	NAN	
4.448	-0.255	0.13125	NAN	NAN	NAN	
4.45	-0.255	0.12225	NAN	NAN	NAN	
4.452	-0.25	0.1311	NAN	NAN	NAN	
4.454	-0.25	0.1476	0.13572	0.03393	NAN	
4.456	-0.25	0.1464	NAN	NAN	NAN	
4.458	-0.25	0.13125	NAN	NAN	NAN	
4.46	-0.25	0.12255	NAN	NAN	NAN	
4.462	-0.25	0.13065	NAN	NAN	NAN	
4.464	-0.245	0.14775	0.13578	0.0332661	NAN	
4.466	-0.245	0.14625	NAN	NAN	NAN	
4.468	-0.245	0.1317	NAN	NAN	NAN	
4.47	-0.245	0.1233	NAN	NAN	NAN	
4.472	-0.245	0.13095	NAN	NAN	NAN	
4.474	-0.24	0.1476	0.13605	0.032652	NAN	
4.476	-0.24	0.14685	NAN	NAN	NAN	
4.478	-0.24	0.13155	NAN	NAN	NAN	
4.48	-0.24	0.12315	NAN	NAN	NAN	
4.482	-0.24	0.13095	NAN	NAN	NAN	
4.484	-0.24	0.14775	0.13608	0.0326592	NAN	
4.486	-0.235	0.14715	NAN	NAN	NAN	
4.488	-0.235	0.1314	NAN	NAN	NAN	
4.49	-0.235	0.12315	NAN	NAN	NAN	
4.492	-0.235	0.1311	NAN	NAN	NAN	
4.494	-0.235	0.1473	0.13611	0.03198585	NAN	
4.496	-0.23	0.14715	NAN	NAN	NAN	
4.498	-0.23	0.13185	NAN	NAN	NAN	
4.5	-0.23	0.1233	NAN	NAN	NAN	
4.502	-0.23	0.1314	NAN	NAN	NAN	
4.504	-0.23	0.1476	0.13623	0.0313329	NAN	
4.506	-0.23	0.147	NAN	NAN	NAN	
4.508	-0.225	0.13185	NAN	NAN	NAN	
4.51	-0.225	0.123	NAN	NAN	NAN	
4.512	-0.225	0.13155	NAN	NAN	NAN	
4.514	-0.225	0.14775	0.13623	0.03065175	NAN	
4.516	-0.225	0.147	NAN	NAN	NAN	
4.518	-0.22	0.13185	NAN	NAN	NAN	
4.52	-0.22	0.12285	NAN	NAN	NAN	
4.522	-0.22	0.1314	NAN	NAN	NAN	
4.524	-0.22	0.14805	0.1362	0.029964	NAN	
4.526	-0.22	0.14685	NAN	NAN	NAN	
4.528	-0.22	0.13185	NAN	NAN	NAN	
4.53	-0.215	0.1236	NAN	NAN	NAN	
4.532	-0.215	0.1311	NAN	NAN	NAN	
4.534	-0.215	0.1479	0.13629	0.02930235	NAN	
4.536	-0.215	0.147	NAN	NAN	NAN	
4.538	-0.215	0.13185	NAN	NAN	NAN	
4.54	-0.21	0.12345	NAN	NAN	NAN	
4.542	-0.21	0.1311	NAN	NAN	NAN	
4.544	-0.21	0.14805	0.13632	0.0286272	NAN	
4.546	-0.21	0.14745	NAN	NAN	NAN	
4.548	-0.21	0.13155	NAN	NAN	NAN	
4.55	-0.21	0.1233	NAN	NAN	NAN	
4.552	-0.205	0.1314	NAN	NAN	NAN	
4.554	-0.205	0.14775	0.13632	0.0279456	NAN	
4.556	-0.205	0.14745	NAN	NAN	NAN	
4.558	-0.205	0.1317	NAN	NAN	NAN	
4.56	-0.205	0.1233	NAN	NAN	NAN	
4.562	-0.2	0.1317	NAN	NAN	NAN	
4.564	-0.2	0.1479	0.13647	0.027294	NAN	
4.566	-0.2	0.14745	NAN	NAN	NAN	
4.568	-0.2	0.132	NAN	NAN	NAN	
4.57	-0.2	0.12315	NAN	NAN	NAN	
4.572	-0.2	0.1317	NAN	NAN	NAN	
4.574	-0.195	0.14775	0.13647	0.02661165	NAN	
4.576	-0.195	0.14745	NAN	NAN	NAN	
4.578	-0.195	0.1323	NAN	NAN	NAN	
4.58	-0.195	0.123	NAN	NAN	NAN	
4.582	-0.195	0.1314	NAN	NAN	NAN	
4.584	-0.19	0.14835	0.13641	0.0259179	NAN	
4.586	-0.19	0.147	NAN	NAN	NAN	
4.588	-0.19	0.1323	NAN	NAN	NAN	
4.59	-0.19	0.1233	NAN	NAN	NAN	
4.592	-0.19	0.1311	NAN	NAN	NAN	
4.594	-0.19	0.1482	0.13641	0.0259179	NAN	
4.596	-0.185	0.1473	NAN	NAN	NAN	
4.598	-0.185	0.13215	NAN	NAN	NAN	
4.6	-0.185	0.1233	NAN	NAN	NAN	
4.602	-0.185	0.13125	NAN	NAN	NAN	
4.604	-0.185	0.1482	0.13638	0.0252303	NAN	
4.606	-0.18	0.1473	NAN	NAN	NAN	
4.608	-0.18	0.13185	NAN	NAN	NAN	
4.61	-0.18	0.1236	NAN	NAN	NAN	
4.612	-0.18	0.13125	NAN	NAN	NAN	
4.614	-0.18	0.14805	0.13641	0.0245538	NAN	
4.616	-0.18	0.14745	NAN	NAN	NAN	
4.618	-0.175	0.1317	NAN	NAN	NAN	
4.62	-0.175	0.1239	NAN	NAN	NAN	
4.622	-0.175	0.1317	NAN	NAN	NAN	
4.624	-0.175	0.1476	0.13659	0.02390325	NAN	
4.626	-0.175	0.1476	NAN	NAN	NAN	
4.628	-0.17	0.13215	NAN	NAN	NAN	
4.63	-0.17	0.12345	NAN	NAN	NAN	
4.632	-0.17	0.13185	NAN	NAN	NAN	
4.634	-0.17	0.14775	0.13656	0.0232152	NAN	
4.636	-0.17	0.1476	NAN	NAN	NAN	
4.638	-0.17	0.13215	NAN	NAN	NAN	
4.64	-0.165	0.1233	NAN	NAN	NAN	
4.642	-0.165	0.13185	NAN	NAN	NAN	
4.644	-0.165	0.1479	0.13653	0.02252745	NAN	
4.646	-0.165	0.1473	NAN	NAN	NAN	
4.648	-0.165	0.1323	NAN	NAN	NAN	
4.65	-0.16	0.12315	NAN	NAN	NAN	
4.652	-0.16	0.13155	NAN	NAN	NAN	
4.654	-0.16	0.1482	0.13647	0.0218352	NAN	
4.656	-0.16	0.1473	NAN	NAN	NAN	
4.658	-0.16	0.13215	NAN	NAN	NAN	
4.66	-0.16	0.1236	NAN	NAN	NAN	
4.662	-0.155	0.1314	NAN	NAN	NAN	
4.664	-0.155	0.14805	0.13647	0.02115285	NAN	
4.666	-0.155	0.14715	NAN	NAN	NAN	
4.668	-0.155	0.13215	NAN	NAN	NAN	
4.67	-0.155	0.12345	NAN	NAN	NAN	
4.672	-0.15	0.13095	NAN	NAN	NAN	
4.674	-0.15	0.14805	0.13638	0.020457	NAN	
4.676	-0.15	0.14745	NAN	NAN	NAN	
4.678	-0.15	0.132	NAN	NAN	NAN	
4.68	-0.15	0.12375	NAN	NAN	NAN	
4.682	-0.15	0.13125	NAN	NAN	NAN	
4.684	-0.145	0.14805	0.13653	0.01979685	NAN	
4.686	-0.145	0.14745	NAN	NAN	NAN	
4.688	-0.145	0.13215	NAN	NAN	NAN	
4.69	-0.145	0.1236	NAN	NAN	NAN	
4.692	-0.145	0.13155	NAN	NAN	NAN	
4.694	-0.14	0.1479	0.13662	0.0191268	NAN	
4.696	-0.14	0.1479	NAN	NAN	NAN	
4.698	-0.14	0.13215	NAN	NAN	NAN	
4.7	-0.14	0.12345	NAN	NAN	NAN	
4.702	-0.14	0.132	NAN	NAN	NAN	
4.704	-0.135	0.1482	0.1368	0.018468	NAN	
4.706	-0.135	0.14775	NAN	NAN	NAN	
4.708	-0.135	0.1326	NAN	NAN	NAN	
4.71	-0.135	0.1236	NAN	NAN	NAN	
4.712	-0.135	0.13215	NAN	NAN	NAN	
4.714	-0.135	0.14835	0.13686	0.0184761	NAN	
4.716	-0.13	0.1473	NAN	NAN	NAN	
4.718	-0.13	0.1329	NAN	NAN	NAN	
4.72	-0.13	0.12375	NAN	NAN	NAN	
4.722	-0.13	0.1317	NAN	NAN	NAN	
4.724	-0.13	0.14865	0.13686	0.0177918	NAN	
4.726	-0.125	0.14775	NAN	NAN	NAN	
4.728	-0.125	0.13245	NAN	NAN	NAN	
4.73	-0.125	0.12405	NAN	NAN	NAN	
4.732	-0.125	0.1314	NAN	NAN	NAN	
4.734	-0.125	0.14865	0.13692	0.017115	NAN	
4.736	-0.125	0.14775	NAN	NAN	NAN	
4.738	-0.12	0.13275	NAN	NAN	NAN	
4.74	-0.12	0.12405	NAN	NAN	NAN	
4.742	-0.12	0.13185	NAN	NAN	NAN	
4.744	-0.12	0.14835	0.13698	0.0164376	NAN	
4.746	-0.12	0.14835	NAN	NAN	NAN	
4.748	-0.115	0.1323	NAN	NAN	NAN	
4.75	-0.115	0.12405	NAN	NAN	NAN	
4.752	-0.115	0.13215	NAN	NAN	NAN	
4.754	-0.115	0.14805	0.13701	0.01575615	NAN	
4.756	-0.115	0.14835	NAN	NAN	NAN	
4.758	-0.115	0.13245	NAN	NAN	NAN	
4.76	-0.11	0.1239	NAN	NAN	NAN	
4.762	-0.11	0.1323	NAN	NAN	NAN	
4.764	-0.11	0.14805	0.13701	0.0150711	NAN	
4.766	-0.11	0.1482	NAN	NAN	NAN	
4.768	-0.11	0.1326	NAN	NAN	NAN	
4.77	-0.105	0.12375	NAN	NAN	NAN	
4.772	-0.105	0.1323	NAN	NAN	NAN	
4.774	-0.105	0.1485	0.1371	0.0143955	NAN	
4.776	-0.105	0.14805	NAN	NAN	NAN	
4.778	-0.105	0.1329	NAN	NAN	NAN	
4.78	-0.105	0.1236	NAN	NAN	NAN	
4.782	-0.1	0.13185	NAN	NAN	NAN	
4.784	-0.1	0.14865	0.13695	0.013695	NAN	
4.786	-0.1	0.1479	NAN	NAN	NAN	
4.788	-0.1	0.13275	NAN	NAN	NAN	
4.79	-0.1	0.12375	NAN	NAN	NAN	
4.792	-0.095	0.13185	NAN	NAN	NAN	
4.794	-0.095	0.1485	0.13698	0.0130131	NAN	
4.796	-0.095	0.1479	NAN	NAN	NAN	
4.798	-0.095	0.1329	NAN	NAN	NAN	
4.8	-0.095	0.1239	NAN	NAN	NAN	
4.802	-0.095	0.13155	NAN	NAN	NAN	
4.804	-0.09	0.1485	0.13689	0.0123201	NAN	
4.806	-0.09	0.14775	NAN	NAN	NAN	
4.808	-0.09	0.13275	NAN	NAN	NAN	
4.81	-0.09	0.12405	NAN	NAN	NAN	
4.812	-0.09	0.13155	NAN	NAN	NAN	
4.814	-0.085	0.14865	0.13698	0.0116433	NAN	
4.816	-0.085	0.1482	NAN	NAN	NAN	
4.818	-0.085	0.13245	NAN	NAN	NAN	
4.82	-0.085	0.1239	NAN	NAN	NAN	
4.822	-0.085	0.1317	NAN	NAN	NAN	
4.824	-0.085	0.14835	0.13686	0.0116331	NAN	
4.826	-0.08	0.1482	NAN	NAN	NAN	
4.828	-0.08	0.13215	NAN	NAN	NAN	
4.83	-0.08	0.1239	NAN	NAN	NAN	
4.832	-0.08	0.132	NAN	NAN	NAN	
4.834	-0.08	0.1482	0.13698	0.0109584	NAN	
4.836	-0.075	0.14835	NAN	NAN	NAN	
4.838	-0.075	0.13245	NAN	NAN	NAN	
4.84	-0.075	0.1239	NAN	NAN	NAN	
4.842	-0.075	0.132	NAN	NAN	NAN	
4.844	-0.075	0.1482	0.13701	0.01027575	NAN	
4.846	-0.075	0.14805	NAN	NAN	NAN	
4.848	-0.07	0.1329	NAN	NAN	NAN	
4.85	-0.07	0.12345	NAN	NAN	NAN	
4.852	-0.07	0.13215	NAN	NAN	NAN	
4.854	-0.07	0.1482	0.13689	0.0095823	NAN	
4.856	-0.07	0.1476	NAN	NAN	NAN	
4.858	-0.065	0.13305	NAN	NAN	NAN	
4.86	-0.065	0.12345	NAN	NAN	NAN	
4.862	-0.065	0.13185	NAN	NAN	NAN	
4.864	-0.065	0.14865	0.13689	0.00889785	NAN	
4.866	-0.065	0.14775	NAN	NAN	NAN	
4.868	-0.065	0.13275	NAN	NAN	NAN	
4.87	-0.06	0.1239	NAN	NAN	NAN	
4.872	-0.06	0.13155	NAN	NAN	NAN	
4.874	-0.06	0.14865	0.13692	0.0082152	NAN	
4.876	-0.06	0.14775	NAN	NAN	NAN	
4.878	-0.06	0.13275	NAN	NAN	NAN	
4.88	-0.055	0.12435	NAN	NAN	NAN	
4.882	-0.055	0.13155	NAN	NAN	NAN	
4.884	-0.055	0.1485	0.13695	0.00753225	NAN	
4.886	-0.055	0.1479	NAN	NAN	NAN	
4.888	-0.055	0.13245	NAN	NAN	NAN	
4.89	-0.055	0.1239	NAN	NAN	NAN	
4.892	-0.05	0.1317	NAN	NAN	NAN	
4.894	-0.05	0.1482	0.13698	0.006849	NAN	
4.896	-0.05	0.1485	NAN	NAN	NAN	
4.898	-0.05	0.1326	NAN	NAN	NAN	
4.9	-0.05	0.1242	NAN	NAN	NAN	
4.902	-0.045	0.132	NAN	NAN	NAN	
4.904	-0.045	0.14835	0.13704	0.0061668	NAN	
4.906	-0.045	0.1482	NAN	NAN	NAN	
4.908	-0.045	0.13245	NAN	NAN	NAN	
4.91	-0.045	0.1239	NAN	NAN	NAN	
4.912	-0.045	0.1323	NAN	NAN	NAN	
4.914	-0.04	0.14805	0.13704	0.0054816	NAN	
4.916	-0.04	0.1479	NAN	NAN	NAN	
4.918	-0.04	0.13305	NAN	NAN	NAN	
4.92	-0.04	0.12345	NAN	NAN	NAN	
4.922	-0.04	0.132	NAN	NAN	NAN	
4.924	-0.035	0.1482	0.13689	0.00479115	NAN	
4.926	-0.035	0.1479	NAN	NAN	NAN	
4.928	-0.035	0.1329	NAN	NAN	NAN	
4.93	-0.035	0.1236	NAN	NAN	NAN	
4.932	-0.035	0.13215	NAN	NAN	NAN	
4.934	-0.035	0.1485	0.13701	0.00479535	NAN	
4.936	-0.03	0.14775	NAN	NAN	NAN	
4.938	-0.03	0.13305	NAN	NAN	NAN	
4.94	-0.03	0.12375	NAN	NAN	NAN	
4.942	-0.03	0.13185	NAN	NAN	NAN	
4.944	-0.03	0.14835	0.13698	0.0041094	NAN	
4.946	-0.025	0.14805	NAN	NAN	NAN	
4.948	-0.025	0.1329	NAN	NAN	NAN	
4.95	-0.025	0.1242	NAN	NAN	NAN	
4.952	-0.025	0.13185	NAN	NAN	NAN	
4.954	-0.025	0.1488	0.13707	0.00342675	NAN	
4.956	-0.025	0.1479	NAN	NAN	NAN	
4.958	-0.02	0.1326	NAN	NAN	NAN	
4.96	-0.02	0.1239	NAN	NAN	NAN	
4.962	-0.02	0.13155	NAN	NAN	NAN	
4.964	-0.02	0.14865	0.13692	0.0027384	NAN	
4.966	-0.02	0.14805	NAN	NAN	NAN	
4.968	-0.015	0.13245	NAN	NAN	NAN	
4.97	-0.015	0.1242	NAN	NAN	NAN	
4.972	-0.015	0.1317	NAN	NAN	NAN	
4.974	-0.015	0.1485	0.13704	0.0020556	NAN	
4.976	-0.015	0.14805	NAN	NAN	NAN	
4.978	-0.015	0.13275	NAN	NAN	NAN	
4.98	-0.01	0.12405	NAN	NAN	NAN	
4.982	-0.01	0.132	NAN	NAN	NAN	
4.984	-0.01	0.1485	0.13713	0.0013713	NAN	
4.986	-0.01	0.14835	NAN	NAN	NAN	
4.988	-0.01	0.13275	NAN	NAN	NAN	
4.99	-0.005	0.12375	NAN	NAN	NAN	
4.992	-0.005	0.1323	NAN	NAN	NAN	
4.994	-0.005	0.14805	0.13704	0.0006852	NAN	
4.996	-0.005	0.1482	NAN	NAN	NAN	
4.998	-0.005	0.1329	NAN	NAN	NAN	
5	0	0.1239	NAN	0	NAN	
